,name,personality_type,I,N,T,P,F,J,S,E
48,Marriage and Family Therapist,ENFJ,-1,86,-1,-1,86,71,-1,71
49,Internal affairs (law enforcement),ISTJ,91,-1,100,-1,-1,73,64,-1
50,Military Police,ISTP,88,-1,100,47,-1,-1,100,-1
51,Public Speaker,ENFJ,-1,100,-1,-1,78,89,-1,100
52,Plastic Surgeon,ISTJ,71,-1,82,-1,-1,53,88,-1
53,Wedding Planner,ESFJ,-1,-1,-1,-1,100,89,94,94
54,Choreographer,ESFP,-1,-1,-1,100,100,-1,74,100
55,Speechwriter,ENFJ,-1,100,-1,-1,89,100,-1,67
56,Woodworker,ISTP,100,-1,100,100,-1,-1,100,-1
57,Customs Officer,ESTJ,-1,-1,100,-1,-1,100,100,100
58,Vascular Surgeon,ISTJ,75,-1,100,-1,-1,100,62,-1
59,Bellhop,ESFJ,-1,-1,-1,-1,89,100,100,89
60,Parking Lot Attendant,ISTJ,100,-1,100,-1,-1,100,100,-1
61,Animal Control/Rescuer,ISFJ,93,-1,-1,-1,98,77,79,-1
62,Tire Repairer / Changer,ISTJ,88,-1,100,-1,-1,50,100,-1
63,Courier / Messenger,ESFJ,-1,-1,-1,-1,100,86,86,71
64,Car Body Repairer,ISTP,90,-1,100,100,-1,-1,100,-1
65,Radio / TV Announcer,ESFP,-1,-1,-1,100,85,-1,92,92
66,Travel Agent,ESFJ,-1,-1,-1,-1,56,89,89,89
67,Manicurist / Pedicurist,ESFJ,-1,-1,-1,-1,100,60,100,80
68,Jeweler,ISTJ,100,-1,78,-1,-1,56,89,-1
69,Word Processor / Typist,ISTJ,100,-1,100,-1,-1,73,73,-1
70,Technical Writer,INTP,100,100,94,65,-1,-1,-1,-1
71,Sales Manager,ESTJ,-1,-1,91,-1,-1,91,82,100
72,Industrial Production Manager,ESTJ,-1,-1,100,-1,-1,100,100,100
73,Bishop,ESFJ,-1,-1,-1,-1,89,96,81,74
74,Resuscitation Research,INTJ,100,100,100,-1,-1,88,-1,-1
75,Case–Control Study,ENTJ,-1,82,91,-1,-1,91,-1,55
76,Ventriloquist,ENFP,-1,94,-1,94,78,-1,-1,72
77,Orthopedic Surgeon,ISTP,62,-1,100,75,-1,-1,100,-1
78,Street Musician,ISFP,95,-1,-1,100,100,-1,90,-1
79,Secretary,ISFJ,95,-1,-1,-1,62,95,95,-1
80,Freight Forwarder,ISTJ,80,-1,100,-1,-1,100,100,-1
81,Hotel Manager,ESTJ,-1,-1,91,-1,-1,100,91,100
82,Beauty Guru,ESFP,-1,-1,-1,79,97,-1,90,100
83,Toxicologist,INTJ,93,93,93,-1,-1,79,-1,-1
84,Anatomist,ISTJ,97,-1,93,-1,-1,86,69,-1
85,Treasure Hunter,ESTP,-1,-1,100,100,-1,-1,68,95
86,Videographer,ESFP,-1,-1,-1,100,100,-1,88,88
87,Dog Walker,ISFJ,83,-1,-1,-1,100,75,75,-1
88,Plumber,ISTP,100,-1,100,100,-1,-1,100,-1
89,Craft Artist,ISFP,100,-1,-1,93,100,-1,96,-1
90,Spokesman,ENTP,-1,92,92,75,-1,-1,-1,100
91,Televangelists,ESFJ,-1,-1,-1,-1,100,88,65,100
92,Sushiman,ISTP,91,-1,73,73,-1,-1,91,-1
93,Stuntman,ESTP,-1,-1,91,100,-1,-1,100,82
94,Tailor,ISFJ,100,-1,-1,-1,100,100,100,-1
95,Mailman,ISFJ,100,-1,-1,-1,75,94,88,-1
96,Geriatric Physician,ISFJ,78,-1,-1,-1,78,100,100,-1
97,Book Editor,ISTJ,100,-1,92,-1,-1,96,88,-1
