,name,personality_type,I,N,T,P,F,J,S,E
117,Rap metal,ESTP,-1,-1,86,86,-1,-1,86,86
118,Bolero,ISFP,100,-1,-1,75,100,-1,100,-1
119,Orchestral Pop,ENFJ,-1,100,-1,-1,100,100,-1,88
120,Lounge,ISFJ,83,-1,-1,-1,100,83,83,-1
121,Gothabilly,ENTP,-1,100,75,100,-1,-1,-1,100
122,Bluegrass,ESFJ,-1,-1,-1,-1,50,80,100,60
123,Retro Music,ISFJ,90,-1,-1,-1,90,100,100,-1
124,Funky House,ESFP,-1,-1,-1,100,100,-1,75,75
125,Grime,ISTP,70,-1,90,100,-1,-1,100,-1
126,Blackgaze,INFP,100,96,-1,78,93,-1,-1,-1
127,Rock In Opposition (RIO),INTP,90,100,100,100,-1,-1,-1,-1
128,Bachata,ESFP,-1,-1,-1,95,100,-1,100,85
129,Jump Blues,ESTP,-1,-1,100,100,-1,-1,100,100
130,Swing,ESFP,-1,-1,-1,80,100,-1,73,100
131,"Indian pop (I-pop, Indi-pop)",ENTP,-1,83,67,83,-1,-1,-1,100
132,Bhangra,ESFJ,-1,-1,-1,-1,70,50,60,90
133,Minimal Techno,INTP,93,100,100,93,-1,-1,-1,-1
134,Microhouse,INTP,92,100,100,85,-1,-1,-1,-1
135,Electro,INTP,96,100,96,96,-1,-1,-1,-1
136,Chill-out,INFP,96,92,-1,88,96,-1,-1,-1
137,Hymn,ISFJ,78,-1,-1,-1,78,94,83,-1
138,Soul,ISFP,88,-1,-1,88,100,-1,83,-1
139,Psychobilly,ENTP,-1,100,93,93,-1,-1,-1,100
140,Salsa,ESFP,-1,-1,-1,83,94,-1,89,89
141,Progressive Pop,ENFP,-1,100,-1,100,100,-1,-1,100
142,Cantopop,ESFJ,-1,-1,-1,-1,100,83,83,83
143,Mandopop,ESFJ,-1,-1,-1,-1,100,100,100,100
144,Dark Wave,INFP,100,97,-1,66,77,-1,-1,-1
145,Rock n' Roll and Rockabilly,ESTP,-1,-1,80,95,-1,-1,95,100
146,Disco,ESFP,-1,-1,-1,96,96,-1,88,100
147,Speed Metal,ESTP,-1,-1,100,100,-1,-1,100,59
148,B minor,ISFP,100,-1,-1,100,100,-1,100,-1
149,E minor,ESTJ,-1,-1,100,-1,-1,100,100,100
150,Reggaestep,ISFP,100,-1,-1,100,67,-1,100,-1
151,Heavy Psych,ESFP,-1,-1,-1,100,100,-1,100,100
152,Tropical House,ESFP,-1,-1,-1,100,100,-1,100,100
153,Neo-Psychedelia,INFJ,64,93,-1,-1,93,64,-1,-1
154,Serialism,INTP,100,100,100,100,-1,-1,-1,-1
155,Klezmer,INTJ,100,100,100,-1,-1,100,-1,-1
156,Enka,INTJ,100,100,100,-1,-1,100,-1,-1
157,Post-Trance,INFP,100,100,-1,100,100,-1,-1,-1
158,Ambient Black Metal,INTJ,100,100,73,-1,-1,100,-1,-1
159,Noise Pop,ISFP,100,-1,-1,100,100,-1,100,-1
160,Cold Wave,INTJ,100,93,100,-1,-1,64,-1,-1
161,Aggrotech,INTJ,89,100,100,-1,-1,100,-1,-1
162,Technical Thrash Metal,ISTP,100,-1,100,100,-1,-1,100,-1
163,Ritual Ambient,INTJ,100,100,100,-1,-1,100,-1,-1
